question,answer
What is the capital of France?,Paris
What does HTTP stand for?,HyperText Transfer Protocol
Who developed the Rust language?,Mozilla
What is the largest planet in our solar system?,Jupiter
Who painted the Mona Lisa?,Leonardo da Vinci
What is the chemical symbol for gold?,Au
In which city is the Eiffel Tower located?,Paris
What is the hardest natural substance on Earth?,Diamond
Who wrote the play "Romeo and Juliet"?,William Shakespeare
What is the main ingredient in guacamole?,Avocado
How many sides does a hexagon have?,6
What is the name of the world's largest ocean?,Pacific Ocean
What year did the World Wide Web become publicly available?,1991
What is the currency of Japan?,Yen
Which planet is known as the Red Planet?,Mars
What is the largest mammal in the world?,Blue Whale
Who was the first woman to win a Nobel Prize?,Marie Curie
What language is spoken in Brazil?,Portuguese
What is the capital of Australia?,Canberra
What is the smallest country in the world?,Vatican City
Which element has the atomic number 1?,Hydrogen
Who is known as the father of computers?,Charles Babbage
What is the name of the scale used to measure the spiciness of peppers?,Scoville Scale
In what year did the Titanic sink?,1912
What is the name of Harry Potter's owl?,Hedwig
Which organ in the human body produces insulin?,Pancreas
What is the name of the fairy in Peter Pan?,Tinker Bell
How many bones are in the human body?,206
What is the capital of Egypt?,Cairo
What is the largest type of big cat?,Tiger
What is the name of the ship Charles Darwin sailed on?,HMS Beagle
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
Who discovered penicillin?,Alexander Fleming
What is the national animal of Scotland?,Unicorn
How many time zones does Russia have?,11
What is the square root of 144?,12
Which planet has the most moons?,Saturn
What is the name of the currency used in Switzerland?,Swiss Franc
Who wrote "To Kill a Mockingbird"?,Harper Lee
What is the name of the second book in the Bible?,Exodus
What is the largest desert in the world?,Antarctica
What is the study of fossils called?,Paleontology
Which animal is known as the "Ship of the Desert"?,Camel
What is the name of the highest mountain in Africa?,Mount Kilimanjaro
Who was the first President of the United States?,George Washington
What is the chemical formula for table salt?,NaCl
In which country would you find the Great Barrier Reef?,Australia
What is the name of the Greek god of the sun?,Apollo
What is the main component of the Sun?,Hydrogen
What is the name of this game creator?, Glory
